scenario,person,seed,arm,tracking_mse,accuracy,rate_error,entropy,spectral_entropy,saturation_fraction,control_energy,washout_mse,weight_change,washout_weight_change,cap_events
nominal,0,200,fixed,39.33582611642395,0.5843333333333334,0.0032236257496959836,0.957944099716385,0.15881960076806387,0.0709375,0.04000000000000002,0.7428165292216653,0.0,0.0,0
nominal,0,200,rate,30.27171539722708,0.5836666666666667,0.0024460954389763034,0.9483519147859153,0.21208813299972615,0.007958333333333333,0.03285547919195552,0.7379142479728014,0.0,0.0,0
nominal,0,200,entropy,29.241313162240385,0.5833333333333334,0.0023251080097708757,0.9447943059203261,0.21122026871405258,0.0011041666666666667,0.06455165316274362,0.7412584647436219,0.0,0.0,0
nominal,0,200,combined,28.442184417810406,0.5836666666666667,0.002281618406657038,0.9472702063351333,0.22208012474600056,0.005104166666666667,0.05465967363370073,0.7456185088590034,0.0,0.0,0
nominal,1,200,sham,118.65467653116855,0.584,0.0021489794866836466,0.9642489509341168,0.16685957730327533,0.0785625,0.0,0.44622286949815904,0.0,0.0,0
nominal,1,200,fixed,84.71337537491529,0.7156666666666667,0.0017575866854915676,0.9725400353437592,0.19060078680502088,0.45077083333333334,0.1600000000000001,0.8718020134297143,0.0,0.0,0
nominal,1,200,rate,83.3050377550885,0.5836666666666667,0.0016325659549906787,0.9620013323768507,0.21682127386357808,0.07491666666666667,0.02214393616487734,0.4462228066941055,0.0,0.0,0
nominal,1,200,entropy,107.57694657568575,0.583,0.0018191059813855396,0.9597679607451343,0.19559304260741325,0.07435416666666667,0.042201161027884654,0.4462228187877115,0.0,0.0,0
nominal,1,200,combined,84.68237115301119,0.5836666666666667,0.0016094909727729808,0.9623381961232157,0.22054705856923662,0.07477083333333333,0.03582774541084339,0.44622284655360106,0.0,0.0,0
nominal,2,200,sham,125.89904706205147,0.584,0.003526670291460075,0.9585110857472351,0.14515011355317875,0.08897916666666666,0.0,0.5394612937165321,0.0,0.0,0
nominal,2,200,fixed,88.76255702967559,0.585,0.0028797185129076485,0.9680791744097559,0.15546089878942684,0.450875,0.1600000000000001,0.8537359257024214,0.0,0.0,0
nominal,2,200,rate,92.64338417733428,0.5836666666666667,0.002745176386571609,0.9597523172470787,0.18667204246893424,0.07541666666666667,0.0375414362808159,0.5398913820261032,0.0,0.0,0
nominal,2,200,entropy,97.34604935368411,0.5833333333333334,0.002767723628972088,0.9522947348748306,0.17279784410807733,0.07922916666666667,0.05770257054904727,0.5407712294904058,0.0,0.0,0
nominal,2,200,combined,89.66790856043508,0.5836666666666667,0.0026446056176880274,0.9577464168397044,0.1961249814092336,0.07577083333333333,0.06149317161257526,0.539461334077131,0.0,0.0,0
nominal,3,200,sham,332.1238728835883,0.41533333333333333,0.0038439051588054856,0.947820549103667,0.1942415715490857,0.05445833333333333,0.0,0.49574347629123305,0.0,0.0,0
nominal,3,200,fixed,93.73692090212047,0.4176666666666667,0.001538499696786508,0.9624032858833613,0.24127041733144663,0.429625,0.3599999999999999,4.283501860996389,0.0,0.0,0
nominal,3,200,rate,199.33335050976117,0.4156666666666667,0.002518655487324576,0.9416554809769163,0.26566490951150035,0.06370833333333334,0.03128791367100939,0.4957434474662846,0.0,0.0,0
nominal,3,200,entropy,208.00226503824467,0.4156666666666667,0.0025918722263192744,0.9428945586166061,0.25528994100033414,0.11677083333333334,0.046126837386465704,0.4957434468294972,0.0,0.0,0
nominal,3,200,combined,173.07319439612945,0.4156666666666667,0.0022521096498920564,0.9447602911850175,0.28209727636826415,0.07416666666666667,0.049134815875239726,0.4978244019872811,0.0,0.0,0
nominal,4,200,sham,230.24063962523388,0.584,0.003131621118047604,0.9594784841808661,0.1520634724890426,0.45145833333333335,0.0,0.46591243425592205,0.0,0.0,0
nominal,4,200,fixed,106.75425185984253,0.593,0.0018222946775925575,0.9705366423715298,0.194113934029815,0.45710416666666664,0.3599999999999999,4.632468229577063,0.0,0.0,0
nominal,4,200,rate,158.62095573992968,0.5836666666666667,0.002318400093386358,0.959744880675663,0.19711572014366965,0.41083333333333333,0.030568459065319853,0.4645063584093261,0.0,0.0,0
nominal,4,200,entropy,248.4244088718683,0.5833333333333334,0.003197517322741311,0.9514612568351398,0.17190036580190274,0.20116666666666666,0.06291631864478645,0.46591246419615084,0.0,0.0,0
nominal,4,200,combined,171.14104794884236,0.5836666666666667,0.0023696317516937217,0.9575874510620306,0.20110582579347772,0.25629166666666664,0.051089782207545315,0.4659124630421612,0.0,0.0,0
